timestamp,state,mem_available_mib,swap_free_mib,swap_total_mib,carla_pid,carla_rss_mib,carla_anon_mib,carla_file_mib,carla_shmem_mib,gpu_used_mib,gpu_total_mib,gpu_utilization_pct
1784969019.0396705,ok,27338,312,2047,0,0,0,0,0,21,8188,0
1784969020.0970986,ok,27334,313,2047,0,0,0,0,0,21,8188,0
1784969021.1605556,ok,27330,313,2047,0,0,0,0,0,21,8188,0
1784969022.2198417,ok,27335,313,2047,0,0,0,0,0,21,8188,0
1784969023.2751205,ok,27335,313,2047,0,0,0,0,0,21,8188,0
1784969024.3317049,ok,27344,313,2047,0,0,0,0,0,21,8188,0
1784969025.3877163,ok,27341,313,2047,0,0,0,0,0,21,8188,0
1784969026.4347615,ok,27275,313,2047,24612,169,50,119,0,33,8188,0
1784969027.48177,ok,26869,313,2047,24612,542,308,233,0,272,8188,1
1784969028.5236218,ok,25729,313,2047,24612,1553,999,554,0,648,8188,15
1784969029.5775387,ok,25132,313,2047,24612,2101,1419,682,0,1013,8188,0
1784969030.6268601,ok,25008,313,2047,24612,2280,1465,815,0,1329,8188,24
1784969031.6715996,ok,23912,313,2047,24612,3292,2401,890,0,1437,8188,0
1784969032.7160153,ok,23483,313,2047,24612,3522,2375,1147,0,1895,8188,0
1784969033.7672787,ok,23467,313,2047,24612,3745,2525,1219,0,2078,8188,0
1784969034.8150377,ok,21671,314,2047,24612,5514,3403,2110,0,3020,8188,0
1784969035.8640833,ok,22334,314,2047,24612,4807,2685,2121,0,3445,8188,0
1784969036.9229102,ok,22600,314,2047,24612,4516,2711,1804,0,3479,8188,62
1784969037.9659963,ok,23976,314,2047,24612,3169,2720,448,0,3479,8188,50
1784969039.0186756,ok,23997,314,2047,24612,3168,2720,447,0,3446,8188,44
1784969040.0616622,ok,24047,314,2047,24612,3173,2723,449,0,3591,8188,44
1784969041.105037,ok,24087,314,2047,24612,3173,2724,449,0,3615,8188,37
1784969042.1613967,ok,24100,314,2047,24612,3173,2724,449,0,3615,8188,42
1784969043.2128747,ok,24108,314,2047,24612,3174,2724,450,0,3615,8188,50
1784969044.2778134,ok,24078,314,2047,24612,3183,2734,449,0,3625,8188,44
1784969045.3244023,ok,24121,314,2047,24612,3183,2734,449,0,3625,8188,47
1784969046.369953,ok,24129,314,2047,24612,3183,2734,449,0,3625,8188,50
1784969047.4201424,ok,24149,314,2047,24612,3183,2734,449,0,3625,8188,44
1784969048.4667292,ok,24166,314,2047,24612,3183,2734,449,0,3625,8188,50
1784969049.5151315,ok,24151,314,2047,24612,3183,2734,449,0,3625,8188,45
1784969050.570714,ok,24102,314,2047,24612,3191,2741,450,0,3625,8188,45
1784969051.6190405,ok,24133,314,2047,24612,3192,2741,451,0,3625,8188,45
1784969052.6639888,ok,24150,314,2047,24612,3192,2741,451,0,3625,8188,45
1784969053.7170327,ok,24145,315,2047,24612,3191,2741,450,0,3625,8188,37
1784969054.760964,ok,24152,316,2047,24612,3191,2741,450,0,3621,8188,36
1784969055.8036473,ok,24126,316,2047,24612,3191,2741,450,0,3615,8188,40
1784969056.851476,ok,24159,316,2047,24612,3191,2741,450,0,3615,8188,38
1784969057.8970742,ok,24172,316,2047,24612,3191,2741,450,0,3611,8188,40
1784969058.9471798,ok,24173,316,2047,24612,3191,2741,450,0,3615,8188,38
1784969059.9901693,ok,24186,316,2047,24612,3191,2741,450,0,3611,8188,39
1784969061.0576894,ok,24186,316,2047,24612,3191,2741,450,0,3611,8188,34
1784969062.120081,ok,24181,316,2047,24612,3191,2741,450,0,3611,8188,38
1784969063.1670222,ok,24180,316,2047,24612,3191,2741,450,0,3611,8188,40
1784969064.2211623,ok,24163,316,2047,24612,3191,2741,450,0,3609,8188,37
1784969065.2747116,ok,24136,317,2047,24612,3191,2741,450,0,3617,8188,39
1784969066.3210783,ok,24114,317,2047,24612,3191,2741,450,0,3617,8188,39
1784969067.3668532,ok,24057,317,2047,24612,3198,2748,450,0,3617,8188,40
1784969068.4136345,ok,24072,317,2047,24612,3204,2753,450,0,3617,8188,38
1784969069.4601817,ok,24065,317,2047,24612,3204,2753,450,0,3617,8188,41
1784969070.5064933,ok,24060,317,2047,24612,3204,2753,450,0,3613,8188,36
1784969071.560668,ok,24063,317,2047,24612,3204,2753,450,0,3615,8188,52
1784969072.6038222,ok,24022,317,2047,24612,3215,2763,451,0,3796,8188,15
1784969073.6480596,ok,24031,317,2047,24612,3215,2763,451,0,3910,8188,25
1784969074.6975129,ok,24029,318,2047,24612,3215,2763,451,0,3910,8188,26
1784969075.7522511,ok,24008,318,2047,24612,3224,2771,452,0,4108,8188,26
1784969076.7953644,ok,24009,318,2047,24612,3224,2771,452,0,4277,8188,28
1784969077.839207,ok,23991,318,2047,24612,3223,2771,451,0,3956,8188,28
